RESPOND_ID,EXAMIN_BEGIN_DE,UTILIIZA_MOBILE_APLCTN_MUSIC_PBLPRFR_K_IDOL_AT,UTILIIZA_MOBILE_APLCTN_GAME_AT,UTILIIZA_MOBILE_APLCTN_PHT_AT,UTILIIZA_MOBILE_APLCTN_BRDCST_VIDO_AT,UTILIIZA_MOBILE_APLCTN_CMC_WEBTOON_AT,UTILIIZA_MOBILE_APLCTN_SEARCH_PORTAL_AT,UTILIIZA_MOBILE_APLCTN_FNC_AT,UTILIIZA_MOBILE_APLCTN_ADVANTK_AT,UTILIIZA_MOBILE_APLCTN_TOUR_AT,UTILIIZA_MOBILE_APLCTN_FOOD_ORDER_AT,UTILIIZA_MOBILE_APLCTN_GBRSTRNT_RECOMEND_RESVE_AT,UTILIIZA_MOBILE_APLCTN_SHOPNG_AT,UTILIIZA_MOBILE_APLCTN_WRKOT_AT,UTILIIZA_MOBILE_APLCTN_EWALLET_AT,UTILIIZA_MOBILE_APLCTN_CLEAN_DCCS_AT,UTILIIZA_MOBILE_APLCTN_ESTT_AT,UTILIIZA_MOBILE_APLCTN_HSPTL_PHARM_MEDIC_SEARCH_AT,UTILIIZA_MOBILE_APLCTN_USEGT_AT,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,HSHLD_INCOME_DGREE_NM,OCCP_NM,ANSWRR_OC_AREA_NM
25936,20231101,Y,Y,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,F,60대 이상,"기타(이혼, 사별 등)",400만원,전업주부,경기
31023,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,미혼 / 비혼,600만원,판매/서비스직,경기
41270,20231101,Y,Y,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,F,20대,미혼 / 비혼,모름,무직,서울
1251,20231101,N,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,M,30대,미혼 / 비혼,800만원,사무직,서울
11494,20231101,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,N,Y,F,30대,미혼 / 비혼,500만원,사무직,경기
12444,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,20대,미혼 / 비혼,300만원,전문직,부산
18564,20231101,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N,N,Y,F,30대,기혼,400만원,전업주부,충남
18901,20231101,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,M,30대,"기타(이혼, 사별 등)",300만원,사무직,울산
22142,20231101,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,Y,M,20대,미혼 / 비혼,500만원,대학생,충남
25500,20231101,N,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,F,30대,기혼,700만원,전문직,서울
26311,20231101,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,M,50대,기혼,500만원,전문직,경기
28082,20231101,N,N,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,Y,M,40대,기혼,"1,000만원 이상",사무직,세종
28577,20231101,Y,N,N,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,M,50대,기혼,600만원,경영/관리직,서울
28954,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,500만원,사무직,대구
29272,20231101,N,Y,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,F,40대,기혼,400만원,사무직,대전
31097,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,20대,미혼 / 비혼,"1,000만원 이상",기술직,대전
32365,20231101,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,M,40대,미혼 / 비혼,300만원,일반작업직,서울
33319,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,800만원,기술직,경기
34643,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,20대,미혼 / 비혼,200만원,무직,서울
35326,20231101,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,N,M,30대,미혼 / 비혼,500만원,기술직,강원
44647,20231101,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,F,40대,기혼,600만원,일반작업직,경기
45201,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,20대,미혼 / 비혼,400만원,사무직,서울
49211,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,10대,미혼 / 비혼,600만원,기타,경기
49609,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,20대,미혼 / 비혼,500만원,기술직,경기
4982,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,800만원,"자유직 (예술가, 종교인 등)",경기
13272,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,50대,기혼,800만원,일반작업직,인천
14938,20231101,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,M,30대,기혼,300만원,기술직,서울
23592,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,60대 이상,기혼,600만원,기술직,경기
27295,20231101,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,N,N,Y,N,Y,M,60대 이상,기혼,900만원,무직,서울
37177,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,20대,미혼 / 비혼,500만원,대학생,서울
46307,20231101,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,M,20대,미혼 / 비혼,500만원,대학생,대전
48130,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,50대,기혼,"1,000만원 이상","자유직 (예술가, 종교인 등)",서울
50413,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,"1,000만원",사무직,경기
6148,20231101,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,M,30대,미혼 / 비혼,400만원,"자유직 (예술가, 종교인 등)",인천
596,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,500만원,기능/숙련공,서울
16585,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,50대,미혼 / 비혼,300만원,기능/숙련공,대구
21470,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,10대,미혼 / 비혼,600만원,고등학생,경기
40429,20231101,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,F,40대,미혼 / 비혼,300만원,사무직,경기
3988,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,"1,000만원 이상",사무직,서울
4315,20231101,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,M,60대 이상,기혼,400만원,무직,울산
4480,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,600만원,자영업,서울
5983,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,미혼 / 비혼,300만원,사무직,대전
7511,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,"1,000만원 이상",사무직,대전
7598,20231101,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,900만원,판매/서비스직,인천
8776,20231101,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,M,50대,기혼,400만원,사무직,서울
10322,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,400만원,사무직,경기
11148,20231101,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,F,30대,미혼 / 비혼,300만원,전문직,전남
12547,20231101,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,M,50대,기혼,"1,000만원 이상",경영/관리직,서울
16075,20231101,N,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,M,30대,미혼 / 비혼,모름,기술직,대구
16303,20231101,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,N,N,N,N,Y,F,30대,기혼,500만원,기술직,경남
18596,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,800만원,기술직,제주
19865,20231101,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,M,30대,기혼,700만원,기술직,대구
21389,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,"기타(이혼, 사별 등)",200만원,사무직,서울
21644,20231101,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N,N,F,30대,미혼 / 비혼,400만원,사무직,전남
25888,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,500만원,전업주부,서울
27734,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,미혼 / 비혼,200만원,무직,충북
31951,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,600만원,사무직,경기
32032,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,"기타(이혼, 사별 등)",300만원,기술직,인천
35996,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,10대,미혼 / 비혼,200만원,기타,인천
38525,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,기혼,600만원,사무직,경기
39342,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,기혼,700만원,전업주부,서울
42425,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,기혼,500만원,사무직,대구
47441,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,50대,기혼,500만원,사무직,충남
6016,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,"1,000만원 이상",기술직,광주
6343,20231101,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,Y,N,N,N,N,M,50대,"기타(이혼, 사별 등)",700만원,전문직,경기
9939,20231101,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,F,20대,미혼 / 비혼,400만원,기술직,서울
11868,20231101,N,N,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,M,60대 이상,기혼,800만원,사무직,경남
14401,20231101,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,Y,F,20대,미혼 / 비혼,300만원,사무직,대구
14718,20231101,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,Y,N,N,N,N,N,Y,F,20대,미혼 / 비혼,300만원,대학생,인천
15285,20231101,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,F,30대,미혼 / 비혼,500만원,사무직,인천
15764,20231101,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,F,50대,기혼,"1,000만원 이상",전문직,서울
16483,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,미혼 / 비혼,200만원,사무직,경기
19221,20231101,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y,N,N,N,N,M,30대,기혼,800만원,사무직,부산
20049,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,30대,미혼 / 비혼,"1,000만원",판매/서비스직,서울
24617,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,"1,000만원",기술직,경기
25230,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,60대 이상,기혼,400만원,일반작업직,경기
26168,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,700만원,전업주부,경기
27138,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,"1,000만원",기술직,서울
27254,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,20대,미혼 / 비혼,300만원,무직,서울
27574,20231101,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,M,10대,미혼 / 비혼,600만원,중학생,인천
27843,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,10대,미혼 / 비혼,모름,기능/숙련공,경기
31327,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,300만원,전업주부,울산
31502,20231101,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,M,40대,미혼 / 비혼,200만원,기술직,대구
36994,20231101,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,M,20대,미혼 / 비혼,100만원 미만,무직,경기
42761,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,기혼,400만원,기술직,경기
46854,20231101,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,F,50대,기혼,700만원,전업주부,경기
46964,20231101,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,M,20대,미혼 / 비혼,500만원,대학원생,부산
49020,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,50대,"기타(이혼, 사별 등)",300만원,무직,경기
434,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,50대,기혼,"1,000만원 이상",사무직,경기
727,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,300만원,사무직,경기
1129,20231101,N,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,Y,N,N,N,Y,F,30대,기혼,600만원,사무직,인천
1926,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,30대,미혼 / 비혼,400만원,사무직,경기
2204,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,40대,기혼,600만원,사무직,광주
3752,20231101,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,40대,기혼,600만원,사무직,부산
4207,20231101,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,M,60대 이상,기혼,700만원,사무직,인천
